"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","20 JUN 2014","D136041",40,25,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","20 JUN 2014","A4828",62,40,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","20 JUN 2014","A4865",59,39,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"PORODERMA PANTHERINUM","Leopard catshark","20 JUN 2014","A4810",64,37,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"PORODERMA PANTHERINUM","Leopard catshark","20 JUN 2014","D136037",42,32,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","20 JUN 2014","D136042",49,33,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","20","06","2014"
"HAPLOBLEPHARUS EDWARDSII","Puffader Shyshark","09 JULY 2014","D162643",49.5,38.5,"M","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","09","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","23 JUN 2014","D136033",54,37.5,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","23","06","2014"
"PORODERMA AFRICANUM","Pyjama catshark","14 JULY 2014","A36720",80,64,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","14","07","2014"
"PORODERMA AFRICANUM","Pyjama catshark","14 JULY 2014","A4860",94.5,75,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","14","07","2014"
"PORODERMA AFRICANUM","Pyjama catshark","14 JULY 2014","A5942",89,71,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","14","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","23 JULY 2014","A5997",61.5,49.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","23","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","23 JULY 2014",NA,37.5,29.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","23","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","31 JULY 2014","D162637",57.5,48.2,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","31","07","2014"
"HAPLOBLEPHARUS EDWARDSII","Puffader Shyshark","24 JULY 2014",NA,39.3,26.7,"F","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","24","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","24 JULY 2014",NA,53,42,"M","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","24","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","24 JULY 2014","A4965",60.5,46.4,"M","DIE GANG","Walker Bay",-34.413929,19.256555,"LINEFISHING","24","07","2014"
"PORODERMA PANTHERINUM","Leopard Catshark","28 JULY 2014",NA,53.5,43,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"PORODERMA PANTHERINUM","Leopard Catshark","28 JULY 2014",NA,42.5,34,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","28 JULY 2014","A5760",62.6,52,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shysahrk","28 JULY 2014","A146411",63.8,52.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"PORODERMA AFRICANUM","Pyjama Catshark","28 JULY 2014","A146447",80,64,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","28 JULY 2014","A1657",60,47.5,"M","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","28 JULY 2014",NA,57.4,46,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
"PORODERMA PANTHERINUM","Leopard Catshark","28 JULY 20414","A146408",63.5,41.5,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2041"
"HAPLOBLEPHARUS PICTUS","Dark Shyshark","28 JULY 2014","A3212",61.9,49.5,"F","NEW HARBOUR","Walker Bay",-34.434375,19.231372,"LINEFISHING","28","07","2014"
