"OCCURRENCEID","EVENTDATE","LOCALITY","LATITUDE","LONGITUDE","SAMPLINGPROTOCOL...6","SAMPLINGEFFORT...7","SAMPLESIZEVALUE","SAMPLESIZEUNIT","DATATYPE","SAMPLINGEFFORT...11","INATID","WORMSID","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIFICEPITHET","INFRASPECIFICEPITHET","VERNACULARNAME","TAXONREMARKS","ORGANISMQUANTITY","ORGANISMQUANTITYTYPE","SEX","LIFESTAGE","RECORDEDBY","OCCURRENCEREMARKS","WATERTEMPERATURE","WATERTEMPERATUREUNIT","WATERTEMPERATUREREMARKS","WATERVISIBILITY","WATERVISIBILITYUNIT","DIVETYPE","CLOUD","CLOUDUNIT","DEPTH","DEPTHUNIT","SWELL","SWELLUNIT","FIELDOFVIEW","FIELDOFVIEWUNIT","SURFACELUX","SURFACELUXUNIT","WINDDIRECTION","WINDSPEED","WINDSPEEDUNIT","PROFILE","PROFILEUNIT","BAITTYPE","TIMEOFFIRSTSIGHTING","TIMEOFMAXN","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","OWNER"
902,2018-12-01 12:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",75,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"F","SFMA count",NA,NA,"Jason Buck",NA,"16","C",NA,8,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","12","2018","PORODERMA AFRICANUM","CAPERADD"
962,2018-12-24 11:00:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",55,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"S","SFMA count",NA,NA,"Kara Levy",NA,"20","C",NA,6,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","12","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
968,2018-12-24 11:00:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",55,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"S","SFMA count",NA,NA,"Anaelle Hirsch",NA,"20","C",NA,6,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","12","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
978,2019-01-12 12:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",60,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"F","SFMA count",NA,NA,"Sharief Hendricks",NA,NA,NA,NA,4,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","01","2019","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
994,2019-01-20 11:25:00,"A-Frame","-34.20807","18.46103",NA,NA,NA,NA,"UVC",55,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"F","SFMA count",NA,"Egg","Francois van Schalkwyk",NA,"16","C",NA,7,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","01","2019","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
1311,2019-02-08 12:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",50,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"F","SFMA count",NA,NA,"Dean van Rensburg",NA,"16","C",NA,6,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08","02","2019","PORODERMA AFRICANUM","CAPERADD"
1320,2019-03-03 11:40:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",70,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","PICTUS",NA,"DARK SHYSHARK",NA,"F","SFMA count",NA,NA,"Raadiyah Abrahams",NA,"18","C",NA,7,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03","03","2019","HAPLOBLEPHARUS PICTUS","CAPERADD"
1321,2019-03-03 11:40:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",70,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Raadiyah Abrahams",NA,"18","C",NA,7,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03","03","2019","PORODERMA AFRICANUM","CAPERADD"
1331,2019-03-03 11:40:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",70,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","PICTUS",NA,"DARK SHYSHARK",NA,"F","SFMA count",NA,NA,"Will Pitts",NA,"18","C",NA,7,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03","03","2019","HAPLOBLEPHARUS PICTUS","CAPERADD"
1332,2019-03-03 11:40:00,"Long Beach","-34.18732","18.42858",NA,NA,NA,NA,"UVC",70,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"F","SFMA count",NA,NA,"Will Pitts",NA,"18","C",NA,7,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03","03","2019","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
