"STATION...1","DATE","STATION...3","SPECIES_SCIENTIFIC","SEX","WEIGHT (G)","LENGTH (CM)","LATITUDE","LONGITUDE","DAY","MONTH","YEAR","DATATYPE","OWNER"
"D00203",2009-03-14,"D00203","Holohalaelurus regani","Female",69,30,-31.4048333333333,17.2641666666667,"14","03","2009","TRAWL","DFFE"
"D00208",2010-03-14,"D00208","Holohalaelurus regani","Female",171,39,-30.4495,16.782,"14","03","2010","TRAWL","DFFE"
"D00208",2010-03-14,"D00208","Holohalaelurus regani","Female",124,34,-30.4495,16.782,"14","03","2010","TRAWL","DFFE"
"D00208",2010-03-14,"D00208","Holohalaelurus regani","Male",67,30,-30.4495,16.782,"14","03","2010","TRAWL","DFFE"
"D00208",2010-03-14,"D00208","Holohalaelurus regani","Male",48,25,-30.4495,16.782,"14","03","2010","TRAWL","DFFE"
"D00208",2010-03-14,"D00208","Holohalaelurus regani","Female",54,28,-30.4495,16.782,"14","03","2010","TRAWL","DFFE"
"D00210",2010-03-14,"D00210","Holohalaelurus regani","Female",110,35,-30.25,16.6236666666667,"14","03","2010","TRAWL","DFFE"
"D00210",2010-03-14,"D00210","Holohalaelurus regani","Male",55,29,-30.25,16.6236666666667,"14","03","2010","TRAWL","DFFE"
"D00210",2010-03-14,"D00210","Holohalaelurus regani","Female",31,24,-30.25,16.6236666666667,"14","03","2010","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",416,47,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",612,52,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",408,44,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",500,49,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",444,47,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus megalops","Male",539,49,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus mitsukurii","Male",1871,74,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus mitsukurii","Male",1734,70,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus mitsukurii","Male",1291,66,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus mitsukurii","Male",208,36,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00213",2011-03-14,"D00213","Squalus mitsukurii","Male",96,28,-29.8266666666667,15.5351666666667,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",471,46,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",540,47,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",418,43,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",455,46,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",386,44,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",387,43,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",475,46,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",436,48,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",411,44,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus megalops","Male",526,47,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Male",1816,73,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Male",1382,67,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Male",1729,73,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Male",1683,71,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Male",324,40,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00214",2011-03-14,"D00214","Squalus mitsukurii","Female",291,38,-29.8748333333333,15.4575,"14","03","2011","TRAWL","DFFE"
"D00215",2011-03-14,"D00215","Squalus megalops","Female",897,55,-29.997,15.2201666666667,"14","03","2011","TRAWL","DFFE"
"D00215",2011-03-14,"D00215","Squalus megalops","Male",505,47,-29.997,15.2201666666667,"14","03","2011","TRAWL","DFFE"
