"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"14-02_TNP_067","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","14-02_TNP",2014-02-25,"Nature's Valley Deep","Exploited",-34.00643,23.56129,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","02","2014"
"14-02_TNP_070","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","14-02_TNP",2014-02-25,"Nature's Valley Deep","Exploited",-34.00827,23.5769,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","02","2014"
"14-03_AB_02","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98924,25.87508,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"14-03_AB_03","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98982,25.86971,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"14-03_AB_06","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98982,25.88865,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"14-03_AB_08","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",3,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98456,25.86996,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"21-05_WILD_068","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",2,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-20,"OS Mdumbi","Exploited",-31.91295,29.30327,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","05","2021"
"21-05_WILD_069","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",2,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-20,"OS Mdumbi","Exploited",-31.92494,29.30885,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","05","2021"
"20-11_OA_030","Elasmobranchii","Dasyatidae","Pateobatis","jenkinsii","Pateobatis jenkinsii",5,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-16,"Kosi Bay","IWP_Maputaland Sanctuary Zone",-26.89912,32.93974,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","11","2020"
"14-03_AB_09","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-34.0033,25.87268,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"14-03_AB_15","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-33.9871,25.88335,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
"14-03_AB_17","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",3,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-34.00051,25.87518,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
"21-05_WILD_070","Elasmobranchii","Triakidae","Mustelus","sp.","Mustelus sp.",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-20,"OS Mdumbi","Exploited",-31.94192,29.31923,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","05","2021"
"14-03_AB_18","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-33.99254,25.88064,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
"14-03_AB_20","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-34.0001,25.88844,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
"14-03_AB_23","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-33.98797,25.86827,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
"14-03_AB_24","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",3,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-23,"Riy Banks","Exploited",-33.98942,25.87263,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","03","2014"
