"","DATE","BEACH","SPECIES_COMMON","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","DATATYPE","LATITUDE","LONGITUDE"
"64",2012-12-28,"CLOVELLY","WHITE SHARK","28","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"65",2012-12-28,"CLOVELLY","WHITE SHARK","28","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"66",2012-12-28,"CLOVELLY","WHITE SHARK","28","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"67",2012-12-26,"CLOVELLY","WHITE SHARK","26","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"68",2012-12-23,"CLOVELLY","WHITE SHARK","23","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"69",2012-12-22,"CLOVELLY","WHITE SHARK","22","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"70",2012-12-21,"CLOVELLY","WHITE SHARK","21","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"71",2012-12-21,"CLOVELLY","WHITE SHARK","21","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"72",2012-12-21,"CLOVELLY","WHITE SHARK","21","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"73",2012-12-18,"CLOVELLY","WHITE SHARK","18","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"74",2012-12-16,"CLOVELLY","WHITE SHARK","16","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"75",2012-12-16,"CLOVELLY","WHITE SHARK","16","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"76",2012-12-16,"CLOVELLY","WHITE SHARK","16","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"77",2012-11-04,"CLOVELLY","WHITE SHARK","04","11","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"78",2012-10-13,"CLOVELLY","WHITE SHARK","13","10","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"79",2012-10-06,"CLOVELLY","WHITE SHARK","06","10","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"80",2012-10-06,"CLOVELLY","WHITE SHARK","06","10","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"81",2012-10-06,"CLOVELLY","WHITE SHARK","06","10","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"82",2012-10-06,"CLOVELLY","WHITE SHARK","06","10","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"83",2012-05-01,"CLOVELLY","WHITE SHARK","01","05","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"84",2012-05-01,"CLOVELLY","WHITE SHARK","01","05","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"85",2012-05-01,"CLOVELLY","WHITE SHARK","01","05","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"86",2012-05-01,"CLOVELLY","WHITE SHARK","01","05","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"87",2012-04-29,"CLOVELLY","WHITE SHARK","29","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"88",2012-04-29,"CLOVELLY","WHITE SHARK","29","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"89",2012-04-29,"CLOVELLY","WHITE SHARK","29","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"90",2012-04-28,"CLOVELLY","WHITE SHARK","28","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"91",2012-04-27,"CLOVELLY","WHITE SHARK","27","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"92",2012-04-27,"CLOVELLY","WHITE SHARK","27","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"93",2012-04-05,"CLOVELLY","WHITE SHARK","05","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"94",2012-04-05,"CLOVELLY","WHITE SHARK","05","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"95",2012-04-05,"CLOVELLY","WHITE SHARK","05","04","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"96",2012-03-21,"CLOVELLY","WHITE SHARK","21","03","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
