"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER","SITENUMBER","MAXN","WAYPOINT","CURRENT (KM/H)","CURRENT DIRECTION","DEPTH","SST","BST","SWELL (M)","VISABILITY (M)","SUBSTRATE TYPE","DEPLOYMENT TIME","RETRIEVAL TIME","SOAK TIME","VIDEO FOLDER REFERENCE","BOAT WAYPOINT","BOTTOM TEMP","REEF NAME","VIDEO REFERENCE","...15","CLOUD COVER (%)"
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","HONEYCOMB WHIPRAY","HIMANTURA UNDULATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","LEOPARD WHIPRAY","HIMANTURA LEOPARDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","ROUND RIBBIONTAIL RAY","TAENIURA MEYENI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","SNAGGLETOOTH WEASEL SHARK","HEMIPRISTIS ELONGATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",0,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","SPOTTED RAGGED TOOTH","CARCHARIAS TAURUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",0,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","TIGER SHARK","GALEOCERDO CUVIER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",0,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","WHITE-SPOTTED WEDGEFISH","RHYNCHOBATUS DJIDDENSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",1,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","HUMANS WHALER SHARK","CARCHARHINUS HUMANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",1,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","JENKINS STINGRAY","PATEOBATIS JENKINSII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",0,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.922015,32.602461,"BRUV","GREY REEF SHARK","CARCHARHINUS AMBLYRHYNCHOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B02",0,"08","0.24","N>S",20,23.2,"22",1.8,15,"sand",1899-12-31 10:24:00,1899-12-31 12:34:00,1899-12-31 02:10:00,"A05B02_06.07.2021",NA,NA,NA,NA,NA,NA
