"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009042601,2009-04-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042602,2009-04-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042702,2009-04-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042702,2010-09-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042702,2010-09-18,1,"CARCHARODON CARCHARIAS","WHITE SHARK","18","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042703,2009-04-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042703,2010-09-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042703,2010-09-18,1,"CARCHARODON CARCHARIAS","WHITE SHARK","18","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042703,2010-09-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042704,2009-04-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042704,2009-05-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042705,2009-04-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050201,2009-05-02,1,"CARCHARODON CARCHARIAS","WHITE SHARK","02","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050201,2009-05-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050301,2009-05-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050501,2009-05-05,1,"CARCHARODON CARCHARIAS","WHITE SHARK","05","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
